Portcullis TrustNet provider database | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
FOIA releases | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
Palantir | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
i2 | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
World Bank project database | How the World Bank Broke Its Promise to Protect the Poor (2015) | report-15-aid-development-finance.md
Resettlement Action Plans | How the World Bank Broke Its Promise to Protect the Poor (2015) | report-15-aid-development-finance.md
Implementation Completion and Results Reports | How the World Bank Broke Its Promise to Protect the Poor (2015) | report-15-aid-development-finance.md
World Bank project database | New Evidence Ties World Bank to Human Rights Abuses in Ethiopia (2015) | report-15-aid-development-finance.md
World Bank Inspection Panel files | New Evidence Ties World Bank to Human Rights Abuses in Ethiopia (2015) | report-15-aid-development-finance.md
Human Rights Watch reports | New Evidence Ties World Bank to Human Rights Abuses in Ethiopia (2015) | report-15-aid-development-finance.md
PEPFAR grant records | Bush's AIDS Initiative: Too Little Choice, Too Much Ideology (2006) | report-15-aid-development-finance.md
USAID award data | Bush's AIDS Initiative: Too Little Choice, Too Much Ideology (2006) | report-15-aid-development-finance.md
Country Operational Plans | Bush's AIDS Initiative: Too Little Choice, Too Much Ideology (2006) | report-15-aid-development-finance.md
GAO reports | Bush's AIDS Initiative: Too Little Choice, Too Much Ideology (2006) | report-15-aid-development-finance.md
U.S. security-assistance training records | U.S.-Trained Forces Linked to Human Rights Abuses (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
Mexican criminal and military case records | U.S.-Trained Forces Linked to Human Rights Abuses (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
Jalisco Human Rights Commission files | U.S.-Trained Forces Linked to Human Rights Abuses (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
Peruvian court and prosecutorial records | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
Vladivideos | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
State Department reports | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
U.S. Senate records | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
aid budgets | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
Coalition Support Fund reimbursements | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
IMET | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
FMF | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
Counterterrorism Fellowship | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
Section 1206 | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
GAO reports | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
FMF | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
IMET | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
counterterrorism assistance records | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
FARA filings | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
congressional bill history | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
State Department reports | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
GSA contract-action data | U.S. Contractors Reap the Windfalls of Post-War Reconstruction (2003; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
FEC campaign-finance records | U.S. Contractors Reap the Windfalls of Post-War Reconstruction (2003; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
lobbying disclosures | U.S. Contractors Reap the Windfalls of Post-War Reconstruction (2003; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
corporate registries | U.S. Contractors Reap the Windfalls of Post-War Reconstruction (2003; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
personnel records | U.S. Contractors Reap the Windfalls of Post-War Reconstruction (2003; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
FPDS | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
USAspending | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
FOIA contractor lists | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
contract documents | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
corporate registries | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
U.S. Army FM 34-21 | Contractors Write the Rules (2004; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
Army policy memorandum | Contractors Write the Rules (2004; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
procurement records | Contractors Write the Rules (2004; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
official investigation records | Contractors Write the Rules (2004; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
UCSF Industry Documents Library | Exposed: How billions of cigarettes end up on black markets (2000) | report-17-lobbying-regulatory-capture.md
BAT planning records | Exposed: How billions of cigarettes end up on black markets (2000) | report-17-lobbying-regulatory-capture.md
court and enforcement records | Exposed: How billions of cigarettes end up on black markets (2000) | report-17-lobbying-regulatory-capture.md
UCSF Industry Documents Library | Global reach of tobacco company’s involvement in cigarette smuggling exposed in company papers (2000) | report-17-lobbying-regulatory-capture.md
BAT general-trade plans | Global reach of tobacco company’s involvement in cigarette smuggling exposed in company papers (2000) | report-17-lobbying-regulatory-capture.md
customs and court records | Global reach of tobacco company’s involvement in cigarette smuggling exposed in company papers (2000) | report-17-lobbying-regulatory-capture.md
PIERS | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
Business Analytica | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
customs seizure records | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
trademark registries | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
corporate registries | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
SOVAT and Ukrainian production statistics | Ukraine’s “Lost” Cigarettes Flood Europe (2009) | report-17-lobbying-regulatory-capture.md
customs records | Ukraine’s “Lost” Cigarettes Flood Europe (2009) | report-17-lobbying-regulatory-capture.md
seizure records | Ukraine’s “Lost” Cigarettes Flood Europe (2009) | report-17-lobbying-regulatory-capture.md
company reports | Ukraine’s “Lost” Cigarettes Flood Europe (2009) | report-17-lobbying-regulatory-capture.md
UCSF Industry Documents Library | The tobacco lobby goes global (2012) | report-17-lobbying-regulatory-capture.md
lobbying and donation disclosures | The tobacco lobby goes global (2012) | report-17-lobbying-regulatory-capture.md
WHO FCTC | The tobacco lobby goes global (2012) | report-17-lobbying-regulatory-capture.md
legislation and court records | The tobacco lobby goes global (2012) | report-17-lobbying-regulatory-capture.md
official working-group rosters | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
Russian Duma bill records | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
WHO FCTC | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
UCSF Industry Documents Library | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
state-contract registry | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
Uber Files cache | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
EU Transparency Register | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
U.S. Senate lobbying disclosures | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
French lobbying registry | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
official calendars | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
SEC filings | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
web archives | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
Uber Files cache | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
corporate investment announcements | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
U.S. sanctions list | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
EU sanctions list | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
Russian Duma records | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
Google Patents | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
Espacenet | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
FDA records | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
CMS Open Payments | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
ILOSTAT | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
GÖG price data | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
IQVIA/Serif/HCCI | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
Guatemala court system | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
Mexico court system | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
Chile court system | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
Brazil court system | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
U.S. state insurance-regulator complaints | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
