priority_group,bucket,finding_id,target_name,claim_type,confidence,evidence_type,evidence_ref,docsdb_status,suggested_action,summary
high,malformed,3434,David Petraeus,direct_quote,confirmed,ref,SEC EDGAR ADSH 0001415889-24-020075,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.",Petraeus SEC Form 3 filing for OneStream Inc (KKR portfolio company) - board director
high,malformed,3438,Roxanne Petraeus,direct_quote,confirmed,ref,FEC donor records; SEC EDGAR Form D ADSH 0001567619-20-021334,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.",Roxanne Petraeus (daughter) CEO of Ethena Inc Brooklyn NY - SEC Form D filings
high,malformed,3439,Paula Broadwell,direct_quote,confirmed,ref,FEC donor records BROADWELL PAULA,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.",Broadwell FEC records show Think Broader Foundation employer 2016 and Retired 2018
high,malformed,3440,David Petraeus,direct_quote,confirmed,ref,OpenSanctions Q28591,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.",Petraeus sanctioned by Russia MFA and Iran MFA-SANC per OpenSanctions
high,malformed,3441,David Petraeus,direct_quote,confirmed,ref,FL corporate registry N10000010684,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.",Americans for Petraeus 2012 Inc Tampa FL nonprofit - inactive since 2011
high,malformed,3451,David Petraeus,direct_quote,confirmed,ref,CourtListener docket 4305495,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Petraeus criminal case: United States v. Petraeus, 3:15-cr-00047, W.D. North Carolina, Judge David Keesler, filed 2015-03-03, terminated 2015-04-23. Pled guilty to misdemeanor unauthorized removal of classified docs. 2 years probation, $100K fine. Prosecution by DOJ National Security Division in Charlotte — far from DC. Case resolved in 50 days, reflecting pre-arranged plea deal with extraordinary leniency for a former CIA Director."
high,malformed,3451,David Petraeus,direct_quote,confirmed,ref,PACER case 3:15-cr-00047 W.D.N.C.,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Petraeus criminal case: United States v. Petraeus, 3:15-cr-00047, W.D. North Carolina, Judge David Keesler, filed 2015-03-03, terminated 2015-04-23. Pled guilty to misdemeanor unauthorized removal of classified docs. 2 years probation, $100K fine. Prosecution by DOJ National Security Division in Charlotte — far from DC. Case resolved in 50 days, reflecting pre-arranged plea deal with extraordinary leniency for a former CIA Director."
high,malformed,3452,Jill Kelley,direct_quote,confirmed,ref,CourtListener docket 4212034,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Jill Kelley filed Privacy Act lawsuit: Kelley v. FBI, 1:13-cv-00825, D.D.C., Judge Amy Berman Jackson, filed 2013-06-03, terminated 2016-03-25. Cause: Right to Privacy Act (5 USC 552). Plaintiff was 'KELLEY, ET AL' vs 'FEDERAL BUREAU OF INVESTIGATION, ET AL.' Kelley sued over the FBI's handling and leaking of her personal information during the Petraeus investigation. Kelley had reported threatening anonymous emails (from Broadwell) to a Tampa FBI agent in May 2012. Her identity was subsequently leaked to media. The case was dismissed after nearly 3 years of litigation."
high,malformed,3452,Jill Kelley,direct_quote,confirmed,ref,PACER case 1:13-cv-00825 D.D.C.,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Jill Kelley filed Privacy Act lawsuit: Kelley v. FBI, 1:13-cv-00825, D.D.C., Judge Amy Berman Jackson, filed 2013-06-03, terminated 2016-03-25. Cause: Right to Privacy Act (5 USC 552). Plaintiff was 'KELLEY, ET AL' vs 'FEDERAL BUREAU OF INVESTIGATION, ET AL.' Kelley sued over the FBI's handling and leaking of her personal information during the Petraeus investigation. Kelley had reported threatening anonymous emails (from Broadwell) to a Tampa FBI agent in May 2012. Her identity was subsequently leaked to media. The case was dismissed after nearly 3 years of litigation."
high,malformed,3454,Jill Kelley,direct_quote,confirmed,ref,CourtListener docket 4226213,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Jill Kelley filed insurance lawsuit in Tampa: Kelley v. Federal Insurance Company, 8:11-cv-01218, M.D. Florida (Tampa division), Judge Anthony E. Porcelli, filed 2011-06-01, terminated 2012-09-28. Cause: Diversity-Breach of Contract (Insurance). This pre-dates the Petraeus scandal by over a year, establishing Kelley as an active litigant in the M.D. Florida Tampa division — the same federal court jurisdiction that later handled the Hogan/Davidson extortion case. The Kelley family's financial difficulties and litigation history provide context for her social ambitions with military leadership at MacDill AFB."
high,malformed,3454,Jill Kelley,direct_quote,confirmed,ref,PACER case 8:11-cv-01218 M.D. Fla.,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Jill Kelley filed insurance lawsuit in Tampa: Kelley v. Federal Insurance Company, 8:11-cv-01218, M.D. Florida (Tampa division), Judge Anthony E. Porcelli, filed 2011-06-01, terminated 2012-09-28. Cause: Diversity-Breach of Contract (Insurance). This pre-dates the Petraeus scandal by over a year, establishing Kelley as an active litigant in the M.D. Florida Tampa division — the same federal court jurisdiction that later handled the Hogan/Davidson extortion case. The Kelley family's financial difficulties and litigation history provide context for her social ambitions with military leadership at MacDill AFB."
high,malformed,3462,Paula Broadwell,direct_quote,confirmed,ref,CourtListener docket 4212034 (Kelley v FBI references Broadwell),n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","No criminal prosecution or civil litigation found against or by Paula Broadwell post-scandal. CourtListener search for 'Paula Broadwell' returned no cases where she was a named party (the bankruptcy result was a different Paula Broadwell in E.D. Washington, 2001). Broadwell was never charged despite having classified documents on her computer. The FBI investigated her as part of the Petraeus case but she was essentially treated as a witness/victim rather than a co-conspirator. She appears in the Kelley v. FBI case (docket 4212034) as a referenced party. The absence of any Broadwell prosecution is a significant data point — the DOJ chose to charge only Petraeus and only with a misdemeanor."
high,malformed,3513,Robert Kraft,direct_quote,confirmed,ref,SEC EDGAR DEF 14A 0000119312520225055 Apollo Global Management Inc CIK 1411494 filed 2020-08-20,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Apollo Global Management 2020 DEF 14A (filed Aug 20, 2020): Robert Kraft served as independent director since 2014. 2019 compensation: $125,000 base annual director fee (cash) + $101,816 RSU stock awards = $226,816 total. Notably, Kraft received ONLY the base fee with no committee fees, confirming he served on NO committees (audit or conflicts). Other independent directors (Ducey, Krongard, Richards) received $159K-$175K in cash fees due to committee service. Kraft held 352,120 shares of Apollo Class A common stock as of Aug 2020, marked with asterisk (*) indicating less than 1% beneficial ownership."
high,malformed,3515,Robert Kraft,direct_quote,confirmed,ref,SEC EDGAR DEF 14A 0000119312520225055 Apollo Global Management Inc CIK 1411494 filed 2020-08-20,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Apollo DEF 14A bio: 'Mr. Kraft has served as an independent director of Apollo since 2014. Robert Kraft is the founder, chairman and CEO of the Kraft Group, which includes the six-time Super Bowl Champion New England Patriots, New England Revolution, Boston Uprising, Gillette Stadium, Patriot Place, International Forest Products, Rand-Whitney Group, Rand-Whitney Containerboard and a portfolio of more than 100 private equity investments.' Trustee Dana-Farber Cancer Institute, trustee emeritus Columbia University, board of MA Competitive Partnership, Apollo Theatre, and The Engine. Chairman NE Patriots Charitable Foundation and Kraft Family Foundation. Founding partner REFORM Alliance 2019. Committed 20M to Foundation to Combat Antisemitism."
high,malformed,3520,Robert Kraft,direct_quote,confirmed,ref,IRS Form 990-PF filings via ProPublica Nonprofit Explorer EIN 46-050716,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Kraft Family Foundation (EIN 46-050716) IRS 990 data: Based at 1 Patriot Place, Foxborough MA. Assets peaked at 71.2M (2013), declined to 28M (2023). Annual grant-making approximately 7-12M per year. Revenue sources include investment income and contributions. The foundation made 26.6M in revenue in 2012 (likely a large contribution year). Foundation has been consistently active since at least 2009."
high,malformed,3523,Robert Kraft,direct_quote,confirmed,ref,CourtListener docket 14938822,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Doe v. Town of Jupiter Police Department (9:19-cv-80513, S.D. Fla., filed Apr 15, 2019, terminated Jan 24, 2020). Federal civil rights case (42 USC 1983) in S.D. Florida arising from Orchids of Asia investigation. Plaintiff DOE vs TOWN OF JUPITER POLICE ET AL. Nature of suit: Civil Rights Other (440). Judge: Rodolfo A. Ruiz II, Magistrate: William Matthewman. Case challenged the Jupiter PD's surveillance methods used in the spa investigation."
high,malformed,3525,Robert Kraft,direct_quote,confirmed,ref,CourtListener docket 10710075,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Kraft Group, LLC v. Mahoney (1:99-cv-10917, D. Mass., filed Apr 29, 1999, terminated May 24, 1999). Federal case by Kraft Group LLC in Massachusetts District Court. Nature of suit 850 (Securities/Commodities/Exchange). Judge Edward F. Harrington. Case was brief (less than one month), suggesting settlement or dismissal. Confirms Kraft Group as active litigant in federal courts."
high,malformed,3526,Robert Kraft,direct_quote,confirmed,ref,CourtListener docket 18198777,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Cash v. Snyder (2:20-cv-14305, S.D. Fla., filed Sep 1, 2020, terminated Sep 2, 2021) — Civil rights case (42 USC 1983) arising from Orchids of Asia/Jupiter spa investigation. Filed in same district as Doe v. Jupiter PD. Additional civil litigation challenging law enforcement conduct in the spa surveillance operation."
high,malformed,3529,Robert Kraft,direct_quote,confirmed,ref,SEC EDGAR DEF 14A 0000119312521247884 Apollo Global Management Inc CIK 1411494 filed 2021-08-16,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","CRITICAL: Robert Kraft was NOT re-nominated for the Apollo Global Management board in the 2021 DEF 14A proxy (filed Aug 16, 2021). The 2020 proxy had 7 directors (Black, Harris, Rowan, Ducey, Kraft, Krongard, Richards). The 2021 proxy expanded to 12 directors (Clayton, Ducey, Emerson, Harris, Healey, Joyner, Kleinman, Krongard, Richards, Rowan, Simon, Zelter). Both Leon Black AND Robert Kraft departed simultaneously during the post-Epstein governance overhaul. Kraft served on the Apollo board from 2014 to 2021 - overlapping entirely with the period of Black's approximately 158M in payments to Epstein (2012-2017 per Dechert report). Kraft's 2020 compensation was 226,851 (125K cash + 101,851 RSU), consistent with prior year."
high,malformed,3555,Robert Kraft,direct_quote,confirmed,ref,"DOJ House Oversight files (Feb 2026 release); Yahoo Sports; Boston.com (Feb 4, 2026)",n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","After facilitating Goldberger's hire by Kraft, Epstein texted Goldberger: 'you need to know about a past issue with Kraft that may come to light. Talk later.' The nature of this 'past issue' is unknown from released documents, but implies Epstein possessed compromising information about Kraft predating the 2019 spa case."
high,malformed,3557,Robert Kraft,direct_quote,confirmed,efta,"EFTA02633563; PBS News; Fortune (Feb 5, 2026)",absent,Normalize evidence_ref to canonical token: EFTA02633563,"On Feb 25, 2019, Epstein emailed Brad Karp (Chairman of Paul, Weiss, Rifkind, Wharton & Garrison) a link to Kraft's probable cause affidavit with subject line 'oy'. Karp responded 'yuck.' This demonstrates Epstein and Paul Weiss chairman shared a casual correspondence about Kraft's legal troubles. Karp resigned as Paul Weiss chairman in Feb 2026 after these emails became public."
high,malformed,3563,Robert Kraft,direct_quote,confirmed,efta,EFTA02633592; EFTA02633595,absent,"Split/normalize evidence_ref into canonical tokens: EFTA02633592, EFTA02633595","On Feb 25, 2019, Epstein separately forwarded a Philadelphia opinion article linking Robert Kraft, Epstein, and Trump to both Ehud Barak (former Israeli PM) and journalist Michael Wolff. The article connected Kraft's prostitution charge to Epstein's sex slavery case. Epstein sent the link without commentary to both recipients."
high,malformed,3603,Noam Chomsky,paraphrase,confirmed,ref,ProPublica 990 EIN 844086832,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Noam and Valeria Chomsky Foundation (EIN 844086832) incorporated as 501(c)(3) in Tucson, AZ. Filed 990-PF for 2019 and 2020. $0 revenue/assets in latest filing. Ruling date June 2022."
high,malformed,3629,Valeria Wasserman Chomsky,direct_quote,high,ref,Sunbiz:L06000074004,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Little Faces LLC (FL L06000074004, EIN 20-5274973) filed 07/25/2006 by Valeria Wasserman at 9777 N Korte Lane Tucson AZ - same as Chomsky residence. Dormant 2013-2017, reinstated 03/20/2018 during peak Epstein financial involvement. Dissolved 09/22/2023."
high,malformed,3630,Noam Chomsky,direct_quote,confirmed,ref,MassCourts:MI09P0496EA,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.",MassCourts case MI09P0496EA: Carol S. Chomsky estate (DOD 12/19/2008). Filed 02/02/2009 Middlesex Probate. Co-executors: Harry Chomsky and Eric F. Menoyo. Attorney: Pamela Ann Mosny Veasy at Howland Evangelista Kohlenberg LLP (Max Kohlenberg firm). Estate inventory: personal 12045 real estate 1822000. Case closed 03/16/2009. No separate 2018 trust petition found in system.
high,malformed,3648,Robert Kraft,direct_quote,confirmed,ref,DEF 14A 2020-08-20 acc#0001193125-20-225055,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Robert Kraft appointed to Apollo board May 8 2014, incl. Conflicts Committee. Resigned April 6 2021 effective immediately. Received K retainer initially; by 2019 received only K base (no committee fee). In 2020 proxy, NOT listed on any committee. His 2014 8-K says Conflicts Committee but by 2020 he had been removed. 2021 prorated cash: ,250, no stock awards. Total comp 2019: ,816; 2020: ,851; 2021: ,250."
high,malformed,3648,Robert Kraft,direct_quote,confirmed,ref,SEC 8-K 2014-05-09 acc#0000950142-14-001006,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Robert Kraft appointed to Apollo board May 8 2014, incl. Conflicts Committee. Resigned April 6 2021 effective immediately. Received K retainer initially; by 2019 received only K base (no committee fee). In 2020 proxy, NOT listed on any committee. His 2014 8-K says Conflicts Committee but by 2020 he had been removed. 2021 prorated cash: ,250, no stock awards. Total comp 2019: ,816; 2020: ,851; 2021: ,250."
high,malformed,3648,Robert Kraft,direct_quote,confirmed,ref,SEC 8-K 2021-04-09 acc#0000950142-21-001237,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Robert Kraft appointed to Apollo board May 8 2014, incl. Conflicts Committee. Resigned April 6 2021 effective immediately. Received K retainer initially; by 2019 received only K base (no committee fee). In 2020 proxy, NOT listed on any committee. His 2014 8-K says Conflicts Committee but by 2020 he had been removed. 2021 prorated cash: ,250, no stock awards. Total comp 2019: ,816; 2020: ,851; 2021: ,250."
high,malformed,3649,Jay Clayton,direct_quote,confirmed,ref,DEF 14A 2022-08-19 acc#0001193125-22-225440,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Jay Clayton appointed to Apollo board as Lead Independent Director effective March 1, 2021 (8-K filed Feb 18). Compensation: base K + K LID fee + K per committee + K per committee chair. Initial RSU K (3yr vest), annual RSU K. Also office space + admin. Appointed Non-Executive Chairman March 21, 2021 when Black stepped down. 2021 total comp: ,408 (,528 cash + ,881 stock). Post-Athene merger became Non-Exec Chair of AGM. Serves as Chair of Nominating/Corporate Governance Committee."
high,malformed,3649,Jay Clayton,direct_quote,confirmed,ref,SEC 8-K 2021-02-18 acc#0000950142-21-000670,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Jay Clayton appointed to Apollo board as Lead Independent Director effective March 1, 2021 (8-K filed Feb 18). Compensation: base K + K LID fee + K per committee + K per committee chair. Initial RSU K (3yr vest), annual RSU K. Also office space + admin. Appointed Non-Executive Chairman March 21, 2021 when Black stepped down. 2021 total comp: ,408 (,528 cash + ,881 stock). Post-Athene merger became Non-Exec Chair of AGM. Serves as Chair of Nominating/Corporate Governance Committee."
high,malformed,3649,Jay Clayton,direct_quote,confirmed,ref,SEC 8-K 2021-03-22 acc#0001193125-21-088432,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Jay Clayton appointed to Apollo board as Lead Independent Director effective March 1, 2021 (8-K filed Feb 18). Compensation: base K + K LID fee + K per committee + K per committee chair. Initial RSU K (3yr vest), annual RSU K. Also office space + admin. Appointed Non-Executive Chairman March 21, 2021 when Black stepped down. 2021 total comp: ,408 (,528 cash + ,881 stock). Post-Athene merger became Non-Exec Chair of AGM. Serves as Chair of Nominating/Corporate Governance Committee."
high,malformed,3650,Leon Black,direct_quote,confirmed,ref,SEC 8-K 2021-01-25 acc#0001193125-21-016405,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Leon Black stepped down as CEO, Director, Chairman, and executive committee member March 21, 2021, effective immediately. Initial announcement Jan 25, 2021 said retirement as CEO by July 31, 2021 while remaining Chairman. Accelerated departure came after sexual harassment allegations surfaced. 8-K stated departure 'not the result of any dispute or disagreement.' Same filing: board expanded to 14 directors; Kerry Murphy Healey and Richard Emerson appointed; Jay Clayton became Non-Executive Chairman."
high,malformed,3650,Leon Black,direct_quote,confirmed,ref,SEC 8-K 2021-03-22 acc#0001193125-21-088432,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Leon Black stepped down as CEO, Director, Chairman, and executive committee member March 21, 2021, effective immediately. Initial announcement Jan 25, 2021 said retirement as CEO by July 31, 2021 while remaining Chairman. Accelerated departure came after sexual harassment allegations surfaced. 8-K stated departure 'not the result of any dispute or disagreement.' Same filing: board expanded to 14 directors; Kerry Murphy Healey and Richard Emerson appointed; Jay Clayton became Non-Executive Chairman."
high,malformed,3652,Apollo Global Management,direct_quote,confirmed,ref,SEC 8-K 2021-01-25 acc#0001193125-21-016405,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Dechert LLP report on Leon Black-Epstein relationship presented to full board Jan 24, 2021. Filed as Exhibit 99.1 to 8-K on Jan 25, 2021. Same 8-K announced: Black retirement as CEO by July 31, 2021; Rowan as successor CEO; board expansion to 11 directors; appointment of Pamela Joyner, Siddhartha Mukherjee, Scott Kleinman, James Zelter effective March 1, 2021. Leon Black's letter to LPs filed as Exhibit 99.2. WilmerHale retained for governance review."
high,malformed,3654,Noam Chomsky,direct_quote,confirmed,efta,"EFTA00791740,EFTA00791745,EFTA00791748,EFTA00791751",absent,"Split/normalize evidence_ref into canonical tokens: EFTA00791740, EFTA00791745, EFTA00791748, EFTA00791751","Bainco IRA account statement (Dec 2016): Inherited IRA from Carol Chomsky deceased, value $393,651.26, managed by advisor RBH at Bainco International Investors (500 Boylston St Suite 440, Boston), custodied at Pershing LLC. Active strategy: S&P 500 protective puts, gold covered calls, blue-chip dividend stocks, international ETFs. YTD: $200K withdrawn, $100K RMD taken (required $73,315), $5,762 fees (~1.4%), $55,774 net realized gains. Address on file: 984 Memorial Dr Apt 404, Cambridge MA."
high,malformed,3656,Apollo Global Management,direct_quote,confirmed,ref,SEC 10-K filings CIK 1411494: fiscal 2015 and fiscal 2016,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Kraft was on Apollo Conflicts Committee from May 2014 through end of 2015, but removed by fiscal 2016. The 2015 10-K lists 'current members of our conflicts committee are Messrs. Ducey, Fribourg and Kraft.' The 2016 10-K lists only 'Messrs. Ducey and Fribourg.' No 8-K or public announcement of this change was found."
high,malformed,3659,Apollo Global Management,direct_quote,confirmed,ref,SEC DEF 14A 2020 proxy CIK 1411494,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.",Apollo used NYSE controlled company exemption from 2011 IPO through 2021. Managing Partners held >50pct voting power via Class B/C shares. Executive Committee (Black/Harris/Rowan only) had delegated full board authority. Black held veto on sale transactions. No independent compensation or nominating committee required. Governance reforms came Jan 2021 in Epstein crisis response.
high,malformed,3660,Robert Kraft,direct_quote,confirmed,ref,SEC 10-K CIK 1411494 2016-2019 and DEF 14A 2020-2021,n/a,"Normalize evidence_ref format; if no concrete source exists, replace with valid evidence token.","Kraft Apollo fund investments grew from 1.24M (2016) to 3.92M (2020). Distributions received: 742K (2016), 1.53M (2017), 2.22M (2019), 1.77M (2020). Board compensation was 125K-135K annually. No committee fees after 2015. Fund investments nearly tripled from 2016 to 2020 despite having no committee role."
high,search-breadcrumb,1871,Bill Siegel,direct_quote,high,file,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_name=William+D+Siegel,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,William D. Siegel major Republican donor over 500K in FEC contributions 2008-2024
high,search-breadcrumb,2218,Wachtel & Masyr,direct_quote,high,ref,NY SoS address search 110 East 59th St,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"23 Wachtel & Masyr client entities identified at 110 East 59th St via address search — includes real estate LLCs, retail, and apparel entities"
high,search-breadcrumb,2253,Xenophon Galinas,direct_quote,confirmed,file,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_name=Xenophon+Galinas,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"FEC records: Galinas made 8 political donations 1994-1997 totaling net ,000, all Republican (Dole, D'Amato, Bilirakis), employer listed as Olympic Tower Associates and Onassis Group, zip 10022"
high,search-breadcrumb,2265,Xenophon Galinas,direct_quote,confirmed,ref,DugganUSA-645Fifth-1000hits,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"645 Fifth Avenue (Olympic Tower) appears 1000+ times in Epstein document corpus. While primarily appearing as event venue (galas, concerts at Olympic Tower Atrium), this is the building Galinas managed as president of Olympic Towers Associates 1990-1998 for the Onassis Foundation. Also headquarters of Manhattan Maritime Enterprises (Galinas SPAC) and Manhattan Group Partners (Galinas firm). Olympic Tower Associates has 37 ACRIS property transactions. Olympic Tower at 641-645 Fifth Ave is a 51-story mixed-use tower built by Aristotle Onassis in 1976."
high,search-breadcrumb,2316,Jack Abramoff,direct_quote,high,ref,FEC Schedule A filings via api.open.fec.gov,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"FEC records show Jack Abramoff made 30+ political contributions totaling ~$50K+ while employed at Greenberg Traurig LLP (800 Connecticut Ave NW, Suite 500, Washington DC 20006). Key recipients: ARMPAC (Tom DeLay's PAC, $5K), RICH PAC ($5K), Hawkeye PAC ($5K), First Freedoms Fund ($5K), Bush-Cheney '04 ($2K), Citizens for Arlen Specter ($2K), Keep Our Majority PAC ($2.5K), Senate Victory Fund ($2K), Leadership PAC 2004 ($2K), Charles Taylor for Congress ($2K, listed employer 'SELF EMPLOYED'), Georgians for Isakson ($2K), plus $1.8K to GT's own PAC (C00266585). Also donated $1K each to Cannon for Congress, Bunning, Saxton, Weldon Victory, and Doug Ose (employer: Smith Dawson & Andrews). Exclusively Republican except for $566 to 55th Presidential Inaugural Committee. Overlap with Epstein network donation targets: Specter (also received Dershowitz/Wexner donations) and Bush-Cheney '04."
high,search-breadcrumb,2318,Jack Abramoff,direct_quote,high,file,LDA Senate lobbying API via lda.senate.gov/api/v1,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"LDA lobbying registrations confirm Abramoff registered as a lobbyist through two firms: (1) Greenberg Traurig LLP (registrant ID 16896, 2101 L Street NW Suite 1000, Washington DC 20037), and (2) K&L Gates LLP (registrant ID 32098, formerly Preston Gates Ellis & Rouvelas Meeds, 1601 K Street NW, Washington DC 20006). SunCruz Casino LLC was registered as a GT lobbying client (2001 Registration + Mid-Year Termination) covering Taxation, Gaming/Gambling/Casino, Marine/Maritime, and Travel/Tourism issues. Income reported as $0 on the termination filing. GT also has 20+ active LDA lobbying filings as a registrant and 5 FARA registrations representing Turkey, Panama, Kurdistan, Hungary, Kazakhstan, Belarus, and others. Abramoff's K&L Gates registration confirms the firm was previously Preston Gates Ellis."
high,search-breadcrumb,2413,Isaac Dabah,direct_quote,confirmed,ref,FEC records (API),n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"Isaac Dabah (CEO/controlling shareholder Delta Galil, ~46-54%) FEC donation pattern shows strong pro-Israel political orientation: K to United Democracy Project (AIPAC Super PAC, 2024), ,500 to AIPAC PAC (2025), ,500 to Randy Fine for Congress (2025). Also donated to Stefanik/Esposito (known pro-Israel), Trump MAGA (2020), Romney (2012). Earlier donations to Elisabeth Jensen for Congress (2013-2014). Employer listed as both Delta Galil and GMM Capital LLC (his family investment vehicle). Dabah Family Foundation at 29 W 56th St NYC (EIN 55-0883176). Dabah is Syrian-Jewish, born Brooklyn, Baruch College educated."
high,search-breadcrumb,2803,Tom Barrack,direct_quote,confirmed,ref,WebSearch:PBS-Barrack-acquittal,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"UAE foreign agent indictment Jul 2021 and acquittal Nov 4 2022: charged with conspiracy, obstruction, false statements for advancing UAE interests Apr 2016-Apr 2018"
high,search-breadcrumb,3295,Ron Soffer,synthesis,confirmed,ref,EDGAR EFTS API,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"Comprehensive negative results across US regulatory databases: Zero SEC EDGAR filings for Ron Soffer or Soffer Avocats. Zero FARA registrations. Zero LDA lobbying records. Zero NYC ACRIS property records. Zero UCC filings. Zero FAA aircraft registrations. Zero GLEIF legal entity identifiers. Zero OpenSanctions hits. Zero USVI corporate registrations. Zero DS10 financial transactions. Zero corporate registrations in investigation registry.db matching Ron Soffer specifically (all FL Soffer entities are Turnberry/Aventura Soffer family, unrelated). No UK Companies House results (API key issue). This pattern of zero regulatory footprint despite confirmed bar admissions in NY, Israel, and Paris is notable for a tri-jurisdictional lawyer."
high,search-breadcrumb,3295,Ron Soffer,synthesis,confirmed,ref,FARA API,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"Comprehensive negative results across US regulatory databases: Zero SEC EDGAR filings for Ron Soffer or Soffer Avocats. Zero FARA registrations. Zero LDA lobbying records. Zero NYC ACRIS property records. Zero UCC filings. Zero FAA aircraft registrations. Zero GLEIF legal entity identifiers. Zero OpenSanctions hits. Zero USVI corporate registrations. Zero DS10 financial transactions. Zero corporate registrations in investigation registry.db matching Ron Soffer specifically (all FL Soffer entities are Turnberry/Aventura Soffer family, unrelated). No UK Companies House results (API key issue). This pattern of zero regulatory footprint despite confirmed bar admissions in NY, Israel, and Paris is notable for a tri-jurisdictional lawyer."
high,search-breadcrumb,3295,Ron Soffer,synthesis,confirmed,ref,FEC API,n/a,Replace with concrete source IDs (EFTA/SEC/CL/etc.); move search notes into finding detail.,"Comprehensive negative results across US regulatory databases: Zero SEC EDGAR filings for Ron Soffer or Soffer Avocats. Zero FARA registrations. Zero LDA lobbying records. Zero NYC ACRIS property records. Zero UCC filings. Zero FAA aircraft registrations. Zero GLEIF legal entity identifiers. Zero OpenSanctions hits. Zero USVI corporate registrations. Zero DS10 financial transactions. Zero corporate registrations in investigation registry.db matching Ron Soffer specifically (all FL Soffer entities are Turnberry/Aventura Soffer family, unrelated). No UK Companies House results (API key issue). This pattern of zero regulatory footprint despite confirmed bar admissions in NY, Israel, and Paris is notable for a tri-jurisdictional lawyer."
